iter	Passed	Remaining
210	1485	5553
211	1486	5524
212	1487	5496
213	1491	5477
214	1493	5452
215	1498	5440
216	1502	5420
217	1507	5407
218	1509	5384
219	1528	5418
220	1529	5391
221	1549	5428
222	1554	5417
223	1559	5402
224	1564	5390
225	1573	5387
226	1582	5388
227	1586	5371
228	1588	5346
229	1591	5328
230	1597	5318
231	1620	5364
232	1622	5340
233	1623	5315
234	1625	5291
235	1627	5267
236	1662	5351
237	1666	5334
238	1667	5310
239	1669	5287
240	1671	5263
241	1672	5238
242	1681	5239
243	1686	5224
244	1694	5220
245	1707	5232
246	1709	5212
247	1712	5191
248	1713	5168
249	1715	5146
250	1729	5162
251	1744	5178
252	1746	5157
253	1749	5139
254	1752	5119
255	1759	5112
256	1763	5099
257	1772	5097
258	1779	5092
259	1782	5072
260	1786	5057
261	1792	5050
262	1805	5060
263	1811	5049
264	1833	5086
265	1835	5064
266	1836	5042
267	1840	5026
268	1841	5005
269	1843	4984
270	1844	4962
271	1846	4941
272	1847	4920
273	1849	4899
274	1850	4879
275	1852	4858
276	1855	4842
277	1856	4822
278	1858	4802
279	1859	4782
280	1861	4762
281	1862	4742
282	1864	4722
283	1883	4747
284	1889	4740
285	1896	4734
286	1907	4738
287	1915	4734
288	1924	4734
289	1929	4724
290	1937	4719
291	1940	4705
292	1942	4686
293	1944	4668
294	1952	4665
295	1966	4677
296	1968	4658
297	1974	4650
298	1975	4632
299	1977	4613
300	1981	4601
301	1983	4583
302	1984	4564
303	1985	4546
304	1987	4528
305	1988	4510
306	1989	4491
307	1991	4473
308	1992	4455
309	1993	4437
310	1997	4426
311	2005	4422
312	2008	4409
313	2015	4403
314	2054	4468
315	2057	4453
316	2065	4449
317	2069	4437
318	2071	4422
319	2079	4419
320	2081	4403
321	2087	4395
322	2093	4388
323	2095	4372
324	2099	4360
325	2104	4351
326	2111	4344
327	2149	4403
328	2151	4387
329	2152	4370
330	2159	4363
331	2165	4357
332	2175	4357
333	2181	4349
334	2184	4337
335	2191	4331
336	2194	4317
337	2196	4302
338	2200	4289
339	2204	4279
340	2209	4270
341	2222	4276
342	2226	4264
343	2229	4251
344	2231	4236
345	2238	4230
346	2243	4222
347	2251	4219
348	2257	4210
349	2260	4198
350	2262	4183
351	2268	4176
352	2271	4164
353	2274	4149
354	2275	4134
355	2277	4119
356	2298	4139
357	2301	4126
358	2306	4118
359	2316	4117
360	2318	4103
361	2320	4089
362	2323	4077
363	2329	4070
364	2330	4055
365	2332	4039
366	2334	4025
367	2336	4012
368	2340	4002
369	2345	3993
370	2350	3984
371	2359	3983
372	2361	3970
373	2367	3962
374	2370	3950
375	2377	3945
376	2379	3932
377	2383	3921
378	2385	3908
379	2395	3908
380	2401	3901
381	2407	3895
382	2412	3885
383	2418	3878
384	2429	3881
385	2438	3878
386	2444	3871
387	2458	3877
388	2464	3871
389	2471	3865
390	2474	3853
391	2481	3848
392	2486	3840
393	2492	3833
394	2502	3833
395	2506	3823
396	2511	3814
397	2517	3807
398	2523	3800
399	2545	3818
400	2552	3812
401	2560	3809
402	2569	3806
403	2574	3797
404	2582	3793
405	2588	3787
406	2591	3776
407	2596	3768
408	2608	3768
409	2616	3764
410	2620	3755
411	2623	3744
412	2653	3770
413	2663	3769
414	2665	3757
415	2669	3747
416	2670	3734
417	2677	3728
418	2685	3723
419	2694	3720
420	2699	3712
421	2708	3710
422	2713	3700
423	2718	3693
424	2727	3689
425	2759	3718
426	2771	3719
427	2775	3708
428	2776	3696
429	2781	3687
430	2793	3687
431	2796	3676
432	2800	3666
433	2804	3657
434	2806	3645
435	2807	3632
436	2812	3623
437	2817	3615
438	2820	3604
439	2837	3611
440	2845	3606
441	2863	3615
442	2870	3609
443	2873	3598
444	2878	3589
445	2881	3579
446	2883	3567
447	2885	3555
448	2887	3543
449	2892	3535
450	2896	3525
451	2897	3512
452	2898	3500
453	2899	3487
454	2901	3474
455	2902	3462
456	2919	3468
457	2920	3456
458	2927	3450
459	2933	3444
460	2945	3444
461	2951	3437
462	2958	3431
463	2964	3424
464	2974	3422
465	2977	3411
466	2982	3404
467	2991	3400
468	2997	3394
469	3010	3394
470	3050	3426
471	3051	3414
472	3053	3401
473	3054	3389
474	3055	3377
475	3057	3365
476	3067	3363
477	3069	3351
478	3073	3342
479	3075	3331
480	3077	3320
481	3090	3320
482	3093	3311
483	3095	3299
484	3100	3292
485	3107	3287
486	3109	3275
487	3114	3267
488	3117	3257
489	3120	3248
490	3130	3245
491	3132	3234
492	3134	3224
493	3137	3214
494	3147	3210
495	3153	3204
496	3157	3195
497	3162	3188
498	3169	3182
499	3176	3176
500	3181	3169
501	3184	3159
502	3196	3158
503	3201	3150
504	3203	3139
505	3205	3129
506	3211	3122
507	3217	3115
508	3226	3112
509	3229	3102
510	3240	3101
511	3244	3092
512	3246	3081
513	3247	3070
514	3248	3059
515	3250	3048
516	3255	3041
517	3259	3032
518	3262	3023
519	3266	3015
520	3268	3004
521	3273	2997
522	3275	2987
523	3279	2978
524	3282	2970
525	3291	2965
526	3298	2960
527	3307	2956
528	3312	2949
529	3314	2939
530	3321	2934
531	3340	2938
532	3346	2932
533	3356	2928
534	3375	2934
535	3384	2930
536	3388	2921
537	3396	2916
538	3398	2906
539	3400	2896
540	3401	2886
541	3403	2875
542	3404	2865
543	3406	2855
544	3408	2845
545	3418	2842
546	3428	2839
547	3430	2829
548	3440	2826
549	3447	2820
550	3455	2815
551	3460	2808
552	3469	2804
553	3479	2801
554	3493	2801
555	3495	2791
556	3496	2780
557	3500	2772
558	3504	2764
559	3508	2756
560	3510	2747
561	3513	2738
562	3518	2730
563	3523	2723
564	3528	2716
565	3535	2710
566	3541	2704
567	3543	2695
568	3545	2685
569	3548	2677
570	3553	2669
571	3558	2662
572	3563	2655
573	3565	2646
574	3569	2638
575	3571	2628
576	3574	2620
577	3580	2614
578	3582	2604
579	3583	2595
580	3585	2585
581	3586	2575
582	3588	2566
583	3590	2557
584	3595	2550
585	3598	2542
586	3601	2533
587	3604	2525
588	3606	2516
589	3611	2509
590	3614	2501
591	3615	2491
592	3617	2482
593	3620	2474
594	3625	2467
595	3627	2458
596	3630	2450
597	3633	2442
598	3636	2434
599	3642	2428
600	3645	2419
601	3647	2411
602	3651	2403
603	3653	2395
604	3658	2388
605	3661	2380
606	3664	2372
607	3666	2364
608	3671	2357
609	3672	2348
610	3680	2342
611	3686	2337
612	3694	2332
613	3699	2325
614	3703	2318
615	3706	2310
616	3710	2303
617	3713	2295
618	3722	2291
619	3728	2285
620	3734	2279
621	3740	2273
622	3751	2270
623	3758	2264
624	3767	2260
625	3769	2252
626	3784	2251
627	3785	2242
628	3787	2234
629	3790	2226
630	3795	2219
631	3802	2214
632	3803	2205
633	3805	2196
634	3812	2191
635	3820	2186
636	3836	2186
637	3837	2177
638	3841	2170
639	3846	2163
640	3857	2160
641	3865	2155
642	3868	2147
643	3872	2140
644	3879	2135
645	3889	2131
646	3895	2125
647	3904	2120
648	3910	2114
649	3912	2106
650	3914	2098
651	3915	2089
652	3918	2082
653	3920	2074
654	3922	2065
655	3927	2059
656	3936	2055
657	3942	2049
658	3948	2042
659	3949	2034
660	3952	2026
661	3957	2020
662	3966	2016
663	3972	2010
664	3975	2002
665	3982	1997
666	3988	1991
667	3999	1987
668	4006	1982
669	4012	1976
670	4015	1968
671	4020	1962
672	4026	1956
673	4030	1949
674	4034	1942
675	4036	1934
676	4040	1927
677	4045	1921
678	4048	1914
679	4052	1906
680	4057	1900
681	4060	1893
682	4062	1885
683	4067	1879
684	4072	1872
685	4074	1865
686	4077	1857
687	4082	1851
688	4087	1845
689	4089	1837
690	4092	1830
691	4094	1822
692	4097	1815
693	4099	1807
694	4102	1800
695	4107	1794
696	4112	1787
697	4117	1781
698	4119	1773
699	4121	1766
700	4124	1759
701	4127	1752
702	4129	1744
703	4130	1736
704	4134	1729
705	4135	1722
706	4136	1714
707	4137	1706
708	4139	1698
709	4140	1691
710	4141	1683
711	4145	1676
712	4149	1670
713	4153	1663
714	4182	1667
715	4187	1660
716	4191	1654
717	4202	1650
718	4207	1644
719	4215	1639
720	4221	1633
721	4229	1628
722	4230	1620
723	4233	1613
724	4239	1608
725	4247	1602
726	4253	1597
727	4260	1591
728	4264	1585
729	4268	1578
730	4271	1571
731	4283	1568
732	4290	1562
733	4296	1557
734	4299	1550
735	4302	1543
736	4306	1536
737	4307	1529
738	4310	1522
739	4325	1519
740	4341	1517
741	4345	1510
742	4352	1505
743	4363	1501
744	4365	1494
745	4371	1488
746	4373	1481
747	4384	1477
748	4400	1474
749	4404	1468
750	4411	1462
751	4420	1457
752	4426	1452
753	4434	1446
754	4441	1441
755	4451	1436
756	4455	1430
757	4465	1425
758	4472	1419
759	4495	1419
760	4501	1413
761	4511	1409
762	4518	1403
763	4527	1398
764	4530	1391
765	4534	1385
766	4539	1378
767	4541	1371
768	4547	1365
769	4555	1360
770	4557	1353
771	4559	1346
772	4561	1339
773	4563	1332
774	4567	1326
775	4572	1319
776	4575	1313
777	4579	1306
778	4581	1299
779	4582	1292
780	4583	1285
781	4588	1279
782	4594	1273
783	4603	1268
784	4604	1261
785	4606	1254
786	4607	1247
787	4609	1240
788	4610	1232
789	4618	1227
790	4621	1221
791	4625	1214
792	4628	1208
793	4629	1201
794	4636	1195
795	4641	1189
796	4654	1185
797	4660	1179
798	4664	1173
799	4668	1167
800	4676	1161
801	4681	1155
802	4682	1148
803	4695	1144
804	4701	1138
805	4707	1133
806	4710	1126
807	4717	1120
808	4728	1116
809	4743	1112
810	4746	1106
811	4756	1101
812	4763	1095
813	4772	1090
814	4781	1085
815	4789	1079
816	4795	1074
817	4804	1069
818	4812	1063
819	4821	1058
820	4826	1052
821	4841	1048
822	4852	1043
823	4859	1038
824	4871	1033
825	4880	1028
826	4886	1022
827	4889	1015
828	4892	1009
829	4896	1002
830	4900	996
831	4907	990
832	4918	985
833	4922	979
834	4932	974
835	4938	968
836	4947	963
837	4951	957
838	4960	951
839	4968	946
840	4970	939
841	4977	934
842	4981	927
843	4990	922
844	4996	916
845	5006	911
846	5013	905
847	5023	900
848	5029	894
849	5037	888
850	5041	882
851	5043	876
852	5052	870
853	5059	865
854	5086	862
855	5102	858
856	5112	853
857	5119	847
858	5128	841
859	5132	835
860	5133	828
861	5140	822
862	5147	817
863	5149	810
864	5176	807
865	5179	801
866	5193	796
867	5204	791
868	5206	784
869	5210	778
870	5214	772
871	5219	766
872	5258	765
873	5260	758
874	5261	751
875	5265	745
876	5274	739
877	5286	734
878	5290	728
879	5294	722
880	5300	716
881	5305	709
882	5311	703
883	5320	698
884	5323	691
885	5330	685
886	5341	680
887	5349	674
888	5353	668
889	5355	661
890	5360	655
891	5367	649
892	5375	644
893	5381	638
894	5390	632
895	5393	626
896	5409	621
897	5414	614
898	5422	609
899	5426	602
900	5428	596
901	5438	590
902	5481	588
903	5485	582
904	5487	576
905	5489	569
906	5503	564
907	5505	557
908	5507	551
909	5510	544
910	5511	538
911	5570	537
912	5575	531
913	5584	525
914	5590	519
915	5602	513
916	5607	507
917	5613	501
918	5615	494
919	5626	489
920	5632	483
921	5635	476
922	5636	470
923	5667	466
924	5670	459
925	5671	453
926	5675	446
927	5682	440
928	5685	434
929	5687	428
930	5697	422
931	5718	417
932	5720	410
933	5730	404
934	5732	398
935	5736	392
936	5738	385
937	5745	379
938	5754	373
939	5763	367
940	5773	361
941	5777	355
942	5778	349
943	5780	342
944	5781	336
945	5786	330
946	5805	324
947	5819	319
948	5826	313
949	5835	307
950	5841	300
951	5849	294
952	5855	288
953	5856	282
954	5857	276
955	5858	269
956	5859	263
957	5865	257
958	5867	250
959	5874	244
960	5883	238
961	5890	232
962	5897	226
963	5901	220
964	5904	214
965	5916	208
966	5922	202
967	5930	196
968	5934	189
969	5937	183
970	5944	177
971	5947	171
972	5985	166
973	5987	159
974	5992	153
975	6021	148
976	6026	141
977	6027	135
978	6028	129
979	6029	123
980	6031	116
981	6032	110
982	6033	104
983	6035	98
984	6049	92
985	6057	86
986	6063	79
987	6065	73
988	6066	67
989	6142	62
990	6143	55
991	6147	49
992	6149	43
993	6182	37
994	6190	31
995	6194	24
996	6196	18
997	6200	12
998	6205	6
999	6208	0
